Park Name,Runs,HR,1B,2B,3B,Splits,Team
Chase Field,0.994,0.765,1.095,1.134,1.303,All,Arizona Diamondbacks
Chase Field,1.025,0.782,1.072,1.128,1.453,LHB,Arizona Diamondbacks
Chase Field,0.944,0.743,1.123,1.158,1.033,RHB,Arizona Diamondbacks
Truist Park,1.038,1.009,1.010,0.964,0.974,All,Atlanta Braves
Truist Park,1.012,0.987,1.088,0.844,0.567,LHB,Atlanta Braves
Truist Park,1.046,1.000,0.994,0.964,1.181,RHB,Atlanta Braves
Oriole Park at Camden Yards,1.013,1.087,1.081,0.877,0.842,All,Baltimore Orioles
Oriole Park at Camden Yards,0.974,1.367,1.032,0.922,0.605,LHB,Baltimore Orioles
Oriole Park at Camden Yards,1.029,0.972,1.111,0.865,1.054,RHB,Baltimore Orioles
Fenway Park,1.170,1.049,1.119,1.242,1.669,All,Boston Red Sox
Fenway Park,1.188,0.887,1.111,1.409,2.340,LHB,Boston Red Sox
Fenway Park,1.183,1.166,1.133,1.176,1.350,RHB,Boston Red Sox
Wrigley Field,1.017,1.030,1.050,0.920,1.206,All,Chicago Cubs
Wrigley Field,1.066,1.088,1.059,1.006,1.591,LHB,Chicago Cubs
Wrigley Field,0.991,1.033,1.035,0.885,1.015,RHB,Chicago Cubs
Guaranteed Rate Field,1.035,1.176,0.984,0.907,0.626,All,Chicago White Sox
Guaranteed Rate Field,1.072,1.185,1.047,0.850,0.453,LHB,Chicago White Sox
Guaranteed Rate Field,1.015,1.132,0.978,0.959,0.910,RHB,Chicago White Sox
Great American Ball Park,1.133,1.406,1.016,1.003,0.666,All,Cincinnati Reds
Great American Ball Park,1.109,1.503,0.979,0.895,1.035,LHB,Cincinnati Reds
Great American Ball Park,1.174,1.338,1.027,1.037,0.349,RHB,Cincinnati Reds
Progressive Field,0.929,0.935,0.974,0.969,0.842,All,Cleveland Guardians
Progressive Field,0.931,0.918,0.990,0.893,0.541,LHB,Cleveland Guardians
Progressive Field,0.939,0.859,0.987,1.021,0.973,RHB,Cleveland Guardians
Coors Field,1.351,1.220,1.160,1.295,1.816,All,Colorado Rockies
Coors Field,1.341,1.092,1.167,1.210,1.708,LHB,Colorado Rockies
Coors Field,1.412,1.323,1.160,1.380,1.940,RHB,Colorado Rockies
Comerica Park,0.989,0.818,1.021,1.019,1.803,All,Detroit Tigers
Comerica Park,0.988,0.723,1.031,1.020,2.555,LHB,Detroit Tigers
Comerica Park,0.982,0.878,1.034,1.025,1.226,RHB,Detroit Tigers
Minute Maid Park,0.975,0.978,0.976,0.995,1.422,All,Houston Astros
Minute Maid Park,0.986,0.901,0.990,1.106,2.763,LHB,Houston Astros
Minute Maid Park,0.968,1.009,0.956,0.924,0.954,RHB,Houston Astros
Kauffman Stadium,1.112,0.888,1.123,1.211,1.259,All,Kansas City Royals
Kauffman Stadium,1.101,0.727,1.090,1.173,1.088,LHB,Kansas City Royals
Kauffman Stadium,1.076,0.951,1.134,1.201,1.348,RHB,Kansas City Royals
Angel Stadium,1.031,1.154,1.000,0.890,1.031,All,Los Angeles Angels
Angel Stadium,0.981,1.163,0.971,0.838,1.056,LHB,Los Angeles Angels
Angel Stadium,1.067,1.166,1.028,0.909,0.948,RHB,Los Angeles Angels
Dodger Stadium,0.949,1.218,0.903,0.970,0.667,All,Los Angeles Dodgers
Dodger Stadium,0.903,1.134,0.894,0.910,0.735,LHB,Los Angeles Dodgers
Dodger Stadium,0.984,1.244,0.903,1.025,0.590,RHB,Los Angeles Dodgers
loanDepot park,1.004,0.929,1.051,1.014,1.185,All,Miami Marlins
loanDepot park,1.027,1.059,1.002,1.020,1.406,LHB,Miami Marlins
loanDepot park,0.994,0.908,1.066,1.035,1.015,RHB,Miami Marlins
American Family Field,1.005,1.108,0.936,0.963,1.113,All,Milwaukee Brewers
American Family Field,0.974,1.216,0.854,0.992,1.000,LHB,Milwaukee Brewers
American Family Field,1.018,1.080,0.969,0.953,1.316,RHB,Milwaukee Brewers
Target Field,0.970,0.956,0.974,1.115,0.843,All,Minnesota Twins
Target Field,0.999,1.116,0.986,1.092,0.697,LHB,Minnesota Twins
Target Field,0.954,0.886,0.972,1.148,0.866,RHB,Minnesota Twins
Citi Field,0.873,0.900,0.933,0.828,0.636,All,New York Mets
Citi Field,0.868,0.919,0.899,0.952,0.610,LHB,New York Mets
Citi Field,0.819,0.821,0.943,0.757,0.822,RHB,New York Mets
Yankee Stadium,0.988,1.139,0.933,0.911,0.583,All,New York Yankees
Yankee Stadium,1.072,1.341,0.901,0.903,0.486,LHB,New York Yankees
Yankee Stadium,0.986,1.097,0.953,0.962,0.591,RHB,New York Yankees
Oakland Coliseum,0.908,0.798,0.967,0.996,1.049,All,Oakland Athletics
Oakland Coliseum,0.909,0.889,0.938,0.976,1.158,LHB,Oakland Athletics
Oakland Coliseum,0.890,0.770,0.986,0.986,0.973,RHB,Oakland Athletics
Citizens Bank Park,0.998,1.090,0.952,0.973,1.143,All,Philadelphia Phillies
