Position,Player,Team,Picked as,Eligible positions,Drafted in round
C,William Contreras,Mil,C,C,13
1B,Nolan Jones,Col,1B,"1B,OF",5
2B,Ozzie Albies,Atl,2B,2B,3
3B,Manny Machado,SD,3B,3B,6
SS,Corey Seager,Tex,SS,SS,4
CI,Ha-Seong Kim,SD,3B,"2B,3B,SS",9
MI,Ezequiel Tovar,Col,SS,SS,19
OF,Teoscar Hernández,LAD,OF,OF,12
OF,Cedric Mullins,Bal,OF,OF,15
OF,Bryan Reynolds,Pit,OF,OF,8
OF,Mookie Betts,LAD,OF,"2B,SS,OF",1
DH,Tyler O'Neill,Bos,OF,OF,18
DH,Nathaniel Lowe,Tex,1B,1B,21
DH,Alec Bohm,Phi,1B,"1B,3B",24
DH,Jack Suwinski,Pit,OF,OF,26
SP,Corbin Burnes,Bal,SP,SP,2
SP,Logan Gilbert,Sea,SP,SP,7
SP,Sonny Gray,Stl,SP,SP,11
SP,Nick Pivetta,Bos,SP,"SP,RP",16
SP,Justin Verlander,Hou,SP,SP,17
SP,Kyle Bradish,Bal,SP,SP,20
RP,David Bednar,Pit,RP,RP,10
RP,Clay Holmes,NYY,RP,RP,14
P,Jose Leclerc,Tex,RP,RP,22
P,Lance Lynn,Stl,SP,SP,23
P,Sean Manaea,NYM,SP,"SP, RP",25
P,Jon Gray,Tex,SP,SP,27
P,Ricky Tiedemann,Tor,SP,SP,28
Bench,Clayton Kershaw,LAD,SP,SP,29
Bench,Tylor Megill,NYM,SP,SP,30
Bench,Jeremy Peña,Hou,SS,SS,31
Bench,Louie Varland,Min,SP,SP,32
Bench,Bryan de la Cruz,MIa,SP,SP,33
Bench,Kyle Freeland,Col,SP,SP,
